Date : 2024-09-29 10:54:55
Directory : /home/dana/Documents/Projects/Python/PyPlate
Total : 588 files,  169647 codes, 13402 comments, 27365 blanks, all 210414 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Python           |        551 |    167,742 |     12,902 |     26,977 |    207,621 |
| Markdown         |         12 |        693 |          0 |        153 |        846 |
| C++              |          2 |        543 |        250 |        115 |        908 |
| XML              |          2 |        335 |          3 |          2 |        340 |
| PowerShell       |          1 |        108 |        106 |         34 |        248 |
| Shell Script     |          7 |         70 |         79 |         50 |        199 |
| TOML             |          2 |         59 |         22 |         10 |         91 |
| HTML             |          2 |         54 |         24 |         16 |         94 |
| Desktop          |          2 |         20 |         16 |          6 |         42 |
| JSON             |          3 |         13 |          0 |          0 |         13 |
| pip requirements |          3 |          5 |          0 |          1 |          6 |
| Properties       |          1 |          5 |          0 |          1 |          6 |
+------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                  |        588 |    169,647 |     13,402 |     27,365 |    210,414 |
| . (Files)                                                                                                                                          |          4 |        326 |         12 |         90 |        428 |
| .VSCodeCounter                                                                                                                                     |         10 |        320 |          0 |         52 |        372 |
| .VSCodeCounter/2024-04-17_08-36-35                                                                                                                 |          5 |        109 |          0 |         26 |        135 |
| .VSCodeCounter/2024-09-06_15-49-20                                                                                                                 |          5 |        211 |          0 |         26 |        237 |
| .venv-pyplate                                                                                                                                      |        522 |    164,106 |      9,860 |     25,047 |    199,013 |
| .venv-pyplate (Files)                                                                                                                              |          1 |          5 |          0 |          1 |          6 |
| .venv-pyplate/bin                                                                                                                                  |          3 |        162 |        125 |         59 |        346 |
| .venv-pyplate/include                                                                                                                              |          1 |        370 |        208 |         63 |        641 |
| .venv-pyplate/include/site                                                                                                                         |          1 |        370 |        208 |         63 |        641 |
| .venv-pyplate/include/site/python3.12                                                                                                              |          1 |        370 |        208 |         63 |        641 |
| .venv-pyplate/include/site/python3.12/pygobject                                                                                                    |          1 |        370 |        208 |         63 |        641 |
| .venv-pyplate/include/site/python3.12/pygobject/pygobject-3.0                                                                                      |          1 |        370 |        208 |         63 |        641 |
| .venv-pyplate/lib                                                                                                                                  |        517 |    163,569 |      9,527 |     24,924 |    198,020 |
| .venv-pyplate/lib/python3.12                                                                                                                       |        517 |    163,569 |      9,527 |     24,924 |    198,020 |
| .venv-pyplate/lib/python3.12/site-packages                                                                                                         |        517 |    163,569 |      9,527 |     24,924 |    198,020 |
| .venv-pyplate/lib/python3.12/site-packages/cairo                                                                                                   |          3 |      4,801 |         51 |      1,331 |      6,183 |
| .venv-pyplate/lib/python3.12/site-packages/cairo (Files)                                                                                           |          2 |      4,628 |          9 |      1,279 |      5,916 |
| .venv-pyplate/lib/python3.12/site-packages/cairo/include                                                                                           |          1 |        173 |         42 |         52 |        267 |
| .venv-pyplate/lib/python3.12/site-packages/gi                                                                                                      |         24 |      5,257 |        840 |      1,686 |      7,783 |
| .venv-pyplate/lib/python3.12/site-packages/gi (Files)                                                                                              |         13 |      1,937 |        379 |        553 |      2,869 |
| .venv-pyplate/lib/python3.12/site-packages/gi/overrides                                                                                            |         10 |      3,315 |        442 |      1,128 |      4,885 |
| .venv-pyplate/lib/python3.12/site-packages/gi/repository                                                                                           |          1 |          5 |         19 |          5 |         29 |
| .venv-pyplate/lib/python3.12/site-packages/pip                                                                                                     |        487 |    152,754 |      8,555 |     21,668 |    182,977 |
| .venv-pyplate/lib/python3.12/site-packages/pip (Files)                                                                                             |          3 |         47 |         14 |         29 |         90 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_internal                                                                                           |        139 |     23,204 |      2,152 |      4,978 |     30,334 |
